title,release_date,overview,end_range,opening_weekend
Population 2,2012-01-01,"Set against the backdrop of a post-Apocalypse Earth, Population 2 is about a relationship that ends in tragedy forcing a woman to struggle in the aftermath.",2012-01-08,2012-01-03
Bugcrush,2006-01-20,A teenager's infatuation with the new bad boy at school leads him onto a dark path.,2006-01-27,2006-01-22
Ba'al,2008-09-13,"A world-renowned archaeologist must reawaken the storm god Ba'al by collecting four ancient amulets scattered around the world. As each amulet is uncovered, Ba'al's fury threatens to destroy everything in its path with the most powerful storm mankind has ever seen.",2008-09-20,2008-09-15
Ghost Town,2009-10-24,"Reb Halland, who lives in the era of Wild West, has made a deal with the devil to gain immortality alog with his gang. Preacher McCready is trying to protect the small town by placing five totems around the town in the shape of pinnacle. One day, an collector passes by the town and sees one of the totems pinned to the earth and he decides to take it. When the man takes the totem out of ground Halland and his gang arrives and start killing everyone. The film moves to the present day when a group of college students driving back home from another city after a debate contest suddenly find themselves at this town. Soon they start to be murdered one by one, and it will be up to them to find the secret of this town and destroy Halland and his gang.",2009-10-31,2009-10-26
Darklight,2004-01-01,"Captured by a secret society known as the Faith and mentally controlled with a powerful spell, ancient demoness Lilith now lives as a young woman with no memory of her agless past. However, the terrifying plague unleashed by a rampaging monster, the Demonicos, forces one human to recruit her mystical power known as the Darklight to fight this terrifying beast...",2004-01-08,2004-01-03
Fangs,2002-01-01,"Scottsville is a sleepy town, where the yearly apple blossom festival is usually the only 'memorable' event, so Police Chief Sam Taylor is furious when young cop Ally Parks -who comes from the big city- insists on investigating the death and mutilation of prof. Fuller, who experimented on bats, and soon several other victims, as unnatural bat attacks. She finds a helpful 'expert' in animal controller Dr. John Winslow, and the couple gets help from his inquisitive daughter Genny and her practically in-living high school-friend Logan to unravel how it all ties in with local real estate mogul Carl Hart's dishonest and corrupt practices.",2002-01-08,2002-01-03
Night Sights,2011-12-31,"After losing their son, grieving parents stumble upon a network of people that collect souls of the deceased, preparing them for their journey out of Purgatory.",2012-01-07,2012-01-02
Galaxy Hunter,2004-04-01,"Well into the future, a senior interplanetary investigator, 3V3, sends a distress signal. Ginger, a tough and ravishing stellar investigator takes the assignment and follows the signal to a planet where a nasty villain, Zidian, is brewing and exporting an addictive drug called ""toad."" It's also he who has captured 3V3. Ginger recruits four tough female bounty hunters. We learn more about 3V3's identity and Ginger's skills at entrapment. Plus, there's Ray, a bartender who has a history with Ginger. Can the five women find and rescue 3V3, foil Zidian's plans, and escape with their lives?",2004-04-08,2004-04-03
Illegal Aliens,2007-05-01,"Three aliens morph into super-hot babes and arrive to protect the earth from the intergalactic forces of evil. Guided by Syntax, their holographic mentor, these Illegal Aliens are willing to use every trick in the book and every sexy outfit in their wardrobe to accomplish their mission! ""Illegal Aliens"" pokes fun at today's Hollywood and pays tribute to the so-called ""Bad Movies"" we all love to hate.",2007-05-08,2007-05-03
Contaminated Man,2000-12-17,"In this science fiction thriller, David Whitman (William Hurt) is a chemist who lost his wife and child in a freak accident and is trying to rebuild his life on his own. While doing research, Whitman discovers a series of mysterious deaths that seem to follow in the path of Joseph Mueller (Peter Weller), a seemingly ordinary man who works as a security guard. Unknown to Mueller, his body carries a strange contaminant that's deadly to many people, and Whitman is desperate to find Mueller and stop him before he can cause more deaths.",2000-12-24,2000-12-19
Endangered Species,2004-11-16,"When police are puzzled by several horrific murders, they assume they have a serial killer on their hands. But soon they realise that the unimaginable has happened. A killing machine from another world has arrived on Earth determined to brutally execute human beings. Finding themselves out of their depth they are forced to rely on a mysterious alien hunter that has volunteered his help.",2004-11-23,2004-11-18
Lunopolis,2009-01-01,"Lunopolis is a 2009 direct-to-video science fiction film directed by Matthew Avant. The film is presented in found footage style and takes place in the weeks preceding the rumored events of the 2012 prophecies. Two documentary filmmakers discover a mysterious device and begin to unravel a conspiracy involving the moon, time travel, and a very powerful organization who will stop at nothing to protect their secret.",2009-01-08,2009-01-03
Amazon Warrior,1998-09-01,"In a post-apocalyptic world, a camp of Amazon women is raided by a gang of murderous bandits, who kill everyone in the camp except one small girl. She grows up to be a mercenary, and one day she takes a job escorting the two daughters of a powerful warlord across a river. She finds out that the job turns out to be more dangerous than she thought, and she runs into someone from her past she thought she'd never see again. Written by frankfob2@yahoo.com",1998-09-08,1998-09-03
Teenage Space Vampires,1999-05-18,"Bill, a high school student and avid horror movie fan, witnesses a UFO flying over his town. When the ship lands the next day, Bill and a team from SETI discover that the alien is a strange vampire creature who wants to cast the Earth into darkness so that he and his people can colonize it for themselves. Will Bill and the others be able to keep the Sun shining?",1999-05-25,1999-05-20
"30,000 Leagues Under The Sea",2007-09-09,"Captain Nemo goes even deeper into insanity in this mesmerizing fantasy tale. Once again at the helm of his fearsome, wildly advanced vessel, the nautical madman endeavors to turn the world above the waves upside down.",2007-09-16,2007-09-11
Bacterium,2006-01-01,"A madman unleashes a biological weapon powerful enough to wipe out life on earth in this apocalyptic horror story. As the flesh-eating bacteria spreads, people drop like flies and a top secret military team is called in to stop the outbreak. But the maniac may just succeed: By the time the experts are called in, the contagion has taken on a life of its own. Alison Whitney, Benjamin Kanes, Miya Sagara and Andrew Kranz star.",2006-01-08,2006-01-03
The Spring,2000-01-16,A man and his son stumble onto a modern-day fountain of youth while camping in the woods.,2000-01-23,2000-01-18
Lockjaw: Rise of the Kulev Serpent,2009-05-26,,2009-06-02,2009-05-28
